,0
跨領域設計學院(籌備),OD00
創能學院,CC00
全校國際生大一不分系學士班,GE01
工程與科學學院,CA00
機電系,CE04
纖維複材系,CE05
工工系,CE06
化工系,CE08
航太系,CE13
精密系統設計學位學程,CE26
應數系,CS01
環科系,CS02
材料系,CS03
光電系,CS06
商學院,CB00
會計系,CB01
企管系,CM01
國際經營與貿易學系,CB02
財稅系,CB05
統計系,CB07
經濟系,CB08
合作經濟暨社會事業經營學系,CB06
行銷系,CB26
國企學士學程英語專班,CB25
中文系,CS04
外文系,CH06
資電學院,CI00
資訊系,CE07
電子系,CE09
電機系,CE11
自控系,CE12
通訊系,CI02
資訊電機學院學士班,CI05
建設學院,CD00
土木系,CE01
水利系,CE02
運輸與物流學系,CM02
都資系,CE10
土管系,CM03
金融學院,CF00
財金系,CB03
風保系,CB04
財務工程與精算學程,CF03
國際科技與管理學院,NM00
澳洲墨爾本皇家理工大學商學,NM02
電機資訊雙學士學位學程,NM03
商學大數據分析雙學士學位學,NM04
美國加州聖荷西州立大學工程,NM06
建築專業學院,AS00
建築專業學院學士班,AS01
建築學士學位學程,CE03
創新設計學士學位學程,AS02
室內設計學士學位學程,AS03
法律經濟學程,PC04
不動產管理學程,PC14
景觀與遊憩管理學程,PC15
社會傳播學程,PC22
水土環境經理學程,PC28
華語教師學程,PC29
計算科學學程,PC30
資通安全學程,PC38
勞工安全衛生學程,PC44
專案管理學程,PC46
再生能源與永續社會學程,PC50
物聯網學程,PC52
皮革科技與管理學程,PC56
流體傳動科技學程,PC63
成衣菁英學程,PC64
鞋類產業人才學程,PC67
智慧軌道運輸學程,PC68
飛機製造學分學程,PC69
跨領域產業學程,PC80
設計未來學程,PC81
文化創意學分學程,PC84
外語文選修,XA01
英語選修,XA02
通識核心,XC01
體育選項課,XD01
綜合班,XE01
英文綜合班,XF01
國文綜合班,XF02
核心必修綜合班,XF07
軍訓,XH01
電聲碩士學位學程,CE19
綠能碩士學位學程,CE24
產業碩士專班,CE29
智能製造與工程管理碩士在職,CE30
財法所,CB15
科技管理碩士學位學程,CB21
商學院商學專業碩士在職專班,CB31
商學專業碩士在職學位學程,CB36
歷史文物所,CH07
公共事務與社會創新研究所,CH08
資電碩士在職班,CI06
產業研發碩士班,CI10
生醫碩士學位學程,CI13
光電能源碩士在職專班,CI17
資訊電機工程碩士在職學位學,CI23
視光科技碩士在職學位學程,CI24
景憩碩士學位學程,CD03
建設學院專案管理碩士在職專,CD13
建設碩士在職學位學程,CD16
專案管理碩士在職學位學程,CD17
智慧城市國際碩士學位學程,CD18
金融碩士在職專班,CF02
金融碩士在職學位學程,CF13
國際經管碩士學位學程,CB23
建築碩士學位學程,AS04
建築碩士在職學位學程,AS05
創意設計碩士學位學程,CE25
智財技轉學程(碩士班),PC76
離岸風電學程(碩士),PC82
大數據分析與實務應用碩士學,PC86
經營在職專班,CB13
經營管理碩士在職學位學程,MB03
機航博士學位學程,CE17
商學博士學位學程,CB16
電通博士學位學程,CI03
智慧聯網產業博士學位學程,CI21
土水博士學位學程,CE14
金融博士學位學程,CF01
商學進修班,CB14
商學進修學士學位學程,CB35
營建工程與管理進修學士班,CD06
室內設計進修學士班,CD01
